state,source_type,agency,bulk_available,format,cost,update_frequency,fields_of_interest,url,confidence,notes
US,national,FMCSA - Motor Carrier Census (SMS Input / MCMIS extract) on DOT Open Data Portal,yes,ZIP/CSV + JSON API (Socrata),free,monthly,"DOT_NUMBER; LEGAL_NAME; DBA_NAME; ADD_DATE (registration date); MCS150_DATE (biennial filing date); MCS150_MILEAGE_YEAR; PHY_STREET/CITY/STATE/ZIP + mailing address; TELEPHONE; EMAIL_ADDRESS; NBR_POWER_UNIT; DRIVER_TOTAL (headcount proxy); CARRIER_OPERATION and for-hire/private classification flags; no NAICS; no entity-status field (file is active carriers only)",https://data.transportation.gov/d/kjg3-diqy,high,"Old ai.fmcsa.dot.gov/SMS/Tools/Downloads.aspx now redirects to the FMCSA data-dissemination page; no registration needed on the DOT portal"
US,national,FMCSA - Licensing & Insurance (L&I) snapshot files (Carrier / AuthHist / Insur - All With History),yes,ZIP/CSV + JSON API (Socrata),free,daily,"DOCKET_NUMBER; DOT_NUMBER; COMMON_STAT/CONTRACT_STAT/BROKER_STAT (entity/authority status); STATUS_CHANGE_DATE and OP_AUTH_STATUS in the AuthHist file (grant/revocation dates); BUS_STREET/CITY/STATE/ZIP + mailing address; insurance minimums and BIPD/cargo/bond filings; no NAICS; no employee counts",https://data.transportation.gov/d/6eyk-hxee,high,"Carrier - All With History was frozen 05/14/2026 and is superseded by the Motus AuthHist/RevokeSuspend datasets (e.g. https://data.transportation.gov/d/yu5v-wbh6)"
US,national,FMCSA - SAFER Company Snapshot,no,HTML per-entity lookup (CSV/PDF single-record export),free,daily (MCMIS/L&I snapshot dates; currently 07/31/2026),"USDOT number; legal/DBA name; physical and mailing address; entity type; operating status; operating authority and insurance status; MCS-150 form date and mileage year; power units; drivers; 24-month inspection/crash summary; no NAICS; no bulk export",https://safer.fmcsa.dot.gov/CompanySnapshot.aspx,med,"One-record-at-a-time only - use the census/L&I bulk files above for scoring; resellers repackage this data commercially"
US,national,SBA Office of Capital Access - 7(a) Loan Guarantees FOIA file,yes,CSV (4 files split by fiscal-year decade; XLSX data dictionary),free,quarterly (about one month after quarter end; current file as of 2026-06-30),"ApprovalDate + ApprovalFY + FirstDisbursementDate (issue dates); NaicsCode; NaicsDescription; BorrName; BorrStreet/BorrCity/BorrState/BorrZip (address); ProjectCounty; ProjectState; BusinessAge; BusinessType; LoanStatus + PaidInFullDate + ChargeOffDate (status); FranchiseCode/FranchiseName; JobsSupported (not a true employee count); TermInMonths; GrossApproval",https://data.sba.gov/sites/default/files/uploaded_resources/FOIA_7a_FY2020_Present_asof_260630.csv,high,"Published as a FOIA frequently-requested record; dataset landing page https://data.sba.gov/dataset/7a-504-foia; loan-level back to 1990"
US,national,SBA Office of Capital Access - 504 Certified Development Loan FOIA file,yes,CSV (2 files: FY1991-FY2009 and FY2010-present),free,quarterly (current file as of 2026-06-30),"ApprovalDate + ApprovalFY + FirstDisbursementDate (issue dates); NaicsCode; NaicsDescription; BorrName; BorrStreet/BorrCity/BorrState/BorrZip (address); ProjectCounty; ProjectState; BusinessAge; BusinessType; LoanStatus + PaidInFullDate + ChargeOffDate (status); FranchiseCode/FranchiseName; JobsSupported; TermInMonths; CDC_Name; ThirdPartyLender_Name; no employee counts",https://data.sba.gov/sites/default/files/uploaded_resources/FOIA_504_FY2010_Present_asof_260630.csv,high,"Separate file set from 7(a) under the same FOIA dataset; 504 skews to owner-occupied real estate - strong signal for fixed-location main-street businesses"
US,national,U.S. Census Bureau - County Business Patterns (CBP) / ZIP Code Business Patterns,yes,ZIP/CSV bulk files + JSON API (key required),free,annual (2023 reference year released 2025-06-26),"establishment counts by NAICS (to 6-digit) and by employment-size class; employment week of March 12 (employee counts; aggregate); Q1 and annual payroll; legal form of organization (2008+); geography = US/state/county/MSA/CSA/ZIP/congressional district; aggregate only - no entity names; addresses; filing dates or status",https://www.census.gov/programs-surveys/cbp/data/datasets.html,high,"Bulk files at https://www2.census.gov/programs-surveys/cbp/datasets/2023/ (cbp23co.zip county; zbp23detail.zip ZIP); denominator/exposure layer; not an entity source"
US,national,U.S. Census Bureau - Annual Business Survey: Characteristics of Business Owners (abscbo),api,JSON API (key required) + XLSX/CSV tables on data.census.gov,free,annual (2023 reference year; API vintages 2017-2023),"Age of Owner (OWNRAGE) bands; Year Acquired Ownership of Business; Reasons for Owning; Current Status of Prior Businesses Owned; Primary Source of Income; owner sex/race/ethnicity/veteran status; NAICS sector/subsector/industry-group level only; geography = nation/state/metro/county; no addresses; no filing dates; no establishment-level records",https://api.census.gov/data/2023/abscbo/variables.json,high,"The only authoritative national measure of owner age - use to calibrate succession-risk priors by NAICS and geography; heavy sample suppression at county level"
US,national,CMS - NPPES NPI Data Dissemination (FOIA-disclosable provider file),yes,ZIP/CSV (monthly full replacement ~1.1 GB; weekly incremental; deactivation file),free,monthly full replacement + weekly incremental files,"NPI; Provider Enumeration Date (registration date); Last Update Date; NPI Deactivation Date and Reason Code (status); Entity Type Code (1 individual / 2 organization); legal business name and other-name reference file; practice location and mailing addresses; NUCC provider taxonomy codes (specialty; not NAICS); no employee counts",https://download.cms.gov/nppes/NPI_Files.html,high,"Best national entity-level file for owner-operated healthcare main street (dental; optometry; pharmacy; PT); enumeration date is a usable practice-age proxy"
AL,sos_registry,Alabama Secretary of State - Business Services Division,no,HTML only,unlisted,unknown,entity name; entity ID; entity type; status; formation/registration date; principal address; registered agent; officers; no NAICS or industry code; no bulk file,https://www.sos.alabama.gov/government-records/business-entity-records,med,"one-at-a-time Government Records Inquiry search only; no published bulk file or API; bulk only via Public Records Request (public.records@sos.alabama.gov); document copies $2.00/page"
AL,contractor_board,Alabama Licensing Board for General Contractors,yes,CSV,free,unknown,"Name; License_Number; Address; City; State; Zip; Phone; Fax; Bid_Limit; Specialty (trade classification; not NAICS); Expiration_Date; Extension_Date; no issue date and no explicit status column (roster is current licensees only)",https://licensesearch.alabama.gov/genconbd/FullRosterReport,high,"direct CSV download confirmed (~1.7 MB) via the Download License Verification List link on licensesearch.alabama.gov/genconbd"
AL,professional_board,Alabama License Verification portal (Veterinary Medical Examiners; Public Accountancy; Manufactured Housing Commission; Onsite Wastewater; Court Reporting),no,HTML only,unlisted,unknown,name; license number; city; state; specialty; phone; detail page with status and dates; no NAICS; no street address in list view,https://licensesearch.alabama.gov/,high,"consolidated multi-board lookup but the FullRosterReport CSV endpoint works only for General Contractors (other boards return HTTP 500); each board links to publicrecordsrequest.alabama.gov for bulk"
AL,professional_board,Alabama Board of Cosmetology and Barbering,no,HTML only,$30.00 minimum administrative fee (public records request),unknown,salon/shop and individual license number; license type; status; expiration date; address; no NAICS; no bulk export,https://www.aboc.alabama.gov/public-records-request,med,"GL Suite lookup is one-at-a-time; shop/salon lists only via the board's public records request form; minimum $30.00 administrative fee"
AL,ucc,Alabama Secretary of State - UCC Division,no,HTML only,unlisted,unknown,debtor name; secured party; filing number; filing date; lapse/termination status; images on advanced search; no bulk extract,https://www.sos.alabama.gov/government-records/ucc-records,med,"debtor-name and filing-number search UI only (arc-sos.state.al.us; HTTP-only host); no bulk file or API advertised; UCC11 information request form is the formal request mechanism"
